Title,year,pop_under_npl,rate,gini,comparability,source,link,upi,last_submit
ALB,2022,,19.7,30.2,Yes,INSTAT,,Zurab Sajaia,4/14/2025 11:26
ALB,2023,,,,,,,,
ALB,2024,,,,,,,,
ARG,2000,,,,,,,,
ARG,2001,,,,,,,,
ARG,2002,,,,,,,,
ARG,2003,,,,,,,,
ARG,2004,,,48.59111,,,,,
ARG,2005,,,47.95253,,,,,
ARG,2006,,,46.70954,,,,,
ARG,2007,,,46.58322,,,,,
ARG,2008,,,45.29903,,,,,
ARG,2009,,,44.13974,,,,,
ARG,2010,,,44.45882,,,,,
ARG,2011,,,42.73767,,,,,
ARG,2012,,,41.37999,,,,,
ARG,2013,,,41.01386,,,,,
ARG,2014,,,41.70123,,,,,
ARG,2015,,,,,,,,
ARG,2016,13285771,30.3,42.0215,Yes,"EPH (second semester), INDEC",,,
ARG,2017,11377658,25.7,41.19979,Yes,"WDI, and INDEC (EPH, second semester for poverty)",,,
ARG,2018,8920915,32,,Yes,,,,
ARG,2019,9948071,35.5,,Yes,"EPH (second semester), INDEC",,,
ARG,2020,11986764,42,,Yes,"EPH (second semester), INDEC",,,
ARG,2021,10764597,37.3,42,Yes,,,,
ARG,2022,11371200,39.2,,Yes,"EPH (second semester), INDEC",,,
ARG,2023,12300481,41.7,,Yes,"EPH (second semester), INDEC",,Lourdes Rodriguez Chamussy,8/28/2024 21:59
ARG,2024,,,,,,,,
ARM,2000,,,,,,,,
ARM,2001,,,,,,,,
ARM,2002,,,,,,,,
ARM,2003,,,,,,,,
ARM,2004,1697983,53.5,26,Yes,National Statistical Service of the Republic of Armenia,,,
ARM,2005,1265556,40.1,25.7,Yes,National Statistical Service of the Republic of Armenia,,,
ARM,2006,947314,30.2,26.3,Yes,National Statistical Service of the Republic of Armenia,,,
ARM,2007,822994,26.4,28.8,Yes,National Statistical Service of the Republic of Armenia,,,
ARM,2008,854855,27.6,24.2,Yes,National Statistical Service of the Republic of Armenia,,,
ARM,2009,1049189,34.1,25.7,Yes,National Statistical Service of the Republic of Armenia,,,
ARM,2010,1093762,35.8,26.5,Yes,National Statistical Service of the Republic of Armenia,,,
ARM,2011,1056615,35,26.7,Yes,National Statistical Service of the Republic of Armenia,,,
ARM,2012,978934,32.4,26.9,Yes,National Statistical Service of the Republic of Armenia,,,
ARM,2013,968608,32,27.1,Yes,National Statistical Service of the Republic of Armenia,,,
ARM,2014,905130,30,27.7,Yes,National Statistical Service of the Republic of Armenia,,,
ARM,2015,897159,29.8,27.9,Yes,National Statistical Service of the Republic of Armenia,,,
ARM,2016,881588,29.4,28.6,Yes,National Statistical Service of the Republic of Armenia,,,
ARM,2017,767428,25.7,28.9,Yes,National Statistical Service of the Republic of Armenia,,,
ARM,2018,699774,23.54,29.8,Yes,National Statistical Service of the Republic of Armenia,,,
ARM,2019,782839,26.4,27.9,No,National Statistical Service of the Republic of Armenia,,,
ARM,2020,799119,27,22.1,Yes,National Statistical Service of the Republic of Armenia,,,
ARM,2021,784762,26.5,23.2,Yes,National Statistical Service of the Republic of Armenia,,,
ARM,2022,738321,24.8,23.9,Yes,National Statistical Service of the Republic of Armenia,,Natsuko Kiso Nozaki,3/17/2025 17:55
ARM,2023,658379,23.7,23,Yes,National Statistical Service of the Republic of Armenia,,Natsuko Kiso Nozaki,3/17/2025 17:56
ARM,2024,,,,,,,,
BDI,2000,,,,,,,,
BDI,2001,,,,,,,,
BDI,2002,,,,,,,,
BDI,2003,,,,,,,,
BDI,2004,,,,,,,,
BDI,2005,,,,,,,,
BDI,2006,5150152,67.1,33.35986,Yes,QUIBB 2006,,,
BDI,2007,,,,,,,,
BDI,2008,,,,,,,,
BDI,2009,,,,,,,,
BDI,2010,,,,,,,,
BDI,2011,,,,,,,,
BDI,2012,,,,,,,,
BDI,2013,6230521,64.9,38.62482,Yes,ECVMB 2013,,Roy Shuji Katayama,3/21/2025 12:24
BDI,2014,,,,,,,,
BDI,2015,,,,,,,,
BDI,2016,,,,,,,,
BDI,2017,,,,,,,,
BDI,2018,,,,,,,,
BDI,2019,,,,,,,,
BDI,2020,,51,37,No,EICVMB 2020/21,,Roy Shuji Katayama,3/21/2025 12:23
BDI,2021,,,,,,,,
BDI,2022,,,,,,,,
BDI,2023,,,,,,,,
BDI,2024,,,,,,,,
BEN,2000,,,,,,,,
BEN,2001,,,,,,,,
BEN,2002,,,,,,,,
BEN,2003,,,,,,,,
BEN,2004,,,,,,,,
BEN,2005,,,,,,,,
BEN,2006,3081336,37.5,,Yes,INSAE,,,
BEN,2007,2790081,33,,Yes,INSAE,,,
BEN,2008,,,,,,,,
BEN,2009,,,,,,,,
BEN,2010,3238139,35.2,,Yes,INSAE,,,
BEN,2011,3424810,36.2,,Yes,INSAE,,,
BEN,2012,,,,,,,,
BEN,2013,,,,,,,,
BEN,2014,,,,,,,,
BEN,2015,4240957,40.1,47.8,Yes,INSAE,,,
BEN,2016,,,,,,,,
BEN,2017,,,,,,,,
BEN,2018,,,,,,,,
BEN,2019,4900000,38.5,34.7,Yes,INSAE,,,
BEN,2020,,,,,,,,
BEN,2021,,36.2,32.6,No,INSAE,,Elizabeth Mary Foster,9/27/2024 12:06
BEN,2022,,,,,,,,
BEN,2023,,,,,,,,
BEN,2024,,,,,,,,
BFA,2000,,,,,,,,
BFA,2001,,,,,,,,
BFA,2002,,,,,,,,
BFA,2003,6466511,51.1,43.25251,Yes,WDI,,,
BFA,2004,,,,,,,,
BFA,2005,,,,,,,,
BFA,2006,,,,,,,,
BFA,2007,,,,,,,,
BFA,2008,,,,,,,,
BFA,2009,7070893,46.7,39.76224,Yes,WDI,,,
BFA,2010,,,,,,,,
BFA,2011,,,,,,,,
BFA,2012,,,,,,,,
BFA,2013,,,,,,,,
BFA,2014,7051977,40.1,35.30123,Yes,WDI,,,
BFA,2015,,,,,,,,
BFA,2016,,,,,,,,
BFA,2017,,,,,,,,
BFA,2018,8400000,41.4,43.538,No,INSD,,,
BFA,2019,,,,,,,,
BFA,2020,,,,,,,,
BFA,2021,9549705,43.21,36.1,Yes,INSD,,,
BFA,2022,,,,,,,,
BFA,2023,,,,,,,,
BFA,2024,,,,,,,,
BGD,2000,64352400,48.9,33.40653,,,,,
BGD,2001,,,,,,,,
BGD,2002,,,,,,,,
BGD,2003,,,,,,,,
BGD,2004,,,,,,,,
BGD,2005,57360000,40,33.20129,Yes,,,,
BGD,2006,,,,,,,,
BGD,2007,,,,,,,,
BGD,2008,,,,,,,,
BGD,2009,,,,,,,,
BGD,2010,47911500,31.5,32.1,Yes,,,,
BGD,2011,,,,,,,,
BGD,2012,,,,,,,,
BGD,2013,,,,,,,,
BGD,2014,,,,,,,,
BGD,2015,,,,,,,,
BGD,2016,39609000,24.3,32.38527,Yes,,,,
BGD,2017,,,,,,,,
BGD,2018,,,,,,,,
BGD,2019,,,,,,,,
BGD,2020,,,,,,,,
BGD,2021,,,,,,,,
BGD,2022,30884660,18.7,33.4,No,,,Sergio Daniel Olivieri,4/11/2025 16:53
BGD,2023,,,,,,,,
BGD,2024,,,,,,,,
BGR,2000,1146723,14,,,Eurostat,,,
BGR,2001,1303915,16,,Yes,Eurostat,,,
BGR,2002,1101634,14,,Yes,Eurostat,,,
BGR,2003,,,,,,,,
BGR,2004,,,,,,,,
BGR,2005,1414697,18.4,,No,Eurostat,,,
BGR,2006,1678462,22,,Yes,EUROSTAT,,,
BGR,2007,1620552,21.4,,Yes,EUROSTAT,,,
BGR,2008,1638924,21.8,,Yes,EUROSTAT,,,
BGR,2009,1545694,20.7,,Yes,EUROSTAT,,,
BGR,2010,1647632,22.2,,Yes,EUROSTAT,,,
BGR,2011,1562319,21.2,,Yes,EUROSTAT,,,
BGR,2012,1538717,21,35.4,Yes,EUROSTAT,,,
BGR,2013,1588032,21.8,35.4,Yes,EUROSTAT,,,
BGR,2014,1594049,22,37,Yes,EUROSTAT,,,
BGR,2015,1649303,22.9,37.7,No,EUROSTAT,,,
BGR,2016,1673985,23.4,40.2,Yes,EUROSTAT,,,
BGR,2017,1562409,22,39.6,Yes,EUROSTAT,,,
BGR,2018,1593308,22.6,40.8,Yes,EUROSTAT,,,
BGR,2019,1666009,23.8,40,Yes,EUROSTAT,,,
BGR,2020,1536278,22.1,39.7,Yes,EUROSTAT,,,
BGR,2021,1493032,22.9,38.4,Yes,Eurostat,,,
BGR,2022,1331810,20.6,37.2,Yes,Eurostat,,,
BGR,2023,1395390,21.7,38.4,Yes,Eurostat,,Monica Robayo,3/17/2025 16:50
BGR,2024,,,,,,,Monica Robayo,3/17/2025 16:45
BLR,2000,4181457,41.9,31.16748,,Social conditions and living standards of the population in the Republic of Belarus. National Statistical Committee of the Republic of Belarus. The welfare measure used is consumption per adult equivalent. Poverty line is absolute. Government estimate.,,Judy Yang,3/25/2025 10:01
BLR,2001,2869351,28.9,30.57672,Yes,Social conditions and living standards of the population in the Republic of Belarus. National Statistical Committee of the Republic of Belarus. The welfare measure used is consumption per adult equivalent. Poverty line is absolute. Government estimate.,,,
BLR,2002,3008992,30.5,30.33624,Yes,Social conditions and living standards of the population in the Republic of Belarus. National Statistical Committee of the Republic of Belarus. The welfare measure used is consumption per adult equivalent. Poverty line is absolute. Government estimate.,,,
BLR,2003,2654919,27.1,28.82101,Yes,Social conditions and living standards of the population in the Republic of Belarus. National Statistical Committee of the Republic of Belarus. The welfare measure used is consumption per adult equivalent. Poverty line is absolute. Government estimate.,,,
BLR,2004,1731966,17.8,26.47989,Yes,Social conditions and living standards of the population in the Republic of Belarus. National Statistical Committee of the Republic of Belarus. The welfare measure used is consumption per adult equivalent. Poverty line is absolute. Government estimate.,,,
BLR,2005,1227317,12.7,27.55341,Yes,Social conditions and living standards of the population in the Republic of Belarus. National Statistical Committee of the Republic of Belarus. The welfare measure used is consumption per adult equivalent. Poverty line is absolute. Government estimate.,,,
BLR,2006,1066147,11.1,28.27544,Yes,Social conditions and living standards of the population in the Republic of Belarus. National Statistical Committee of the Republic of Belarus. The welfare measure used is consumption per adult equivalent. Poverty line is absolute. Government estimate.,,,
BLR,2007,736193,7.7,29.61238,Yes,Social conditions and living standards of the population in the Republic of Belarus. National Statistical Committee of the Republic of Belarus. The welfare measure used is consumption per adult equivalent. Poverty line is absolute. Government estimate.,,,
BLR,2008,581207,6.1,27.82604,Yes,Social conditions and living standards of the population in the Republic of Belarus. National Statistical Committee of the Republic of Belarus. The welfare measure used is consumption per adult equivalent. Poverty line is absolute. Government estimate.,,,
BLR,2009,513365,5.4,27.68931,Yes,Social conditions and living standards of the population in the Republic of Belarus. National Statistical Committee of the Republic of Belarus. The welfare measure used is consumption per adult equivalent. Poverty line is absolute. Government estimate.,,,
BLR,2010,493510,5.2,,Yes,,,,
BLR,2011,691542,7.3,27.15255,Yes,Social conditions and living standards of the population in the Republic of Belarus. National Statistical Committee of the Republic of Belarus. The welfare measure used is consumption per adult equivalent. Poverty line is absolute. Government estimate.,,,
BLR,2012,596263,6.3,26.5262,Yes,Social conditions and living standards of the population in the Republic of Belarus. National Statistical Committee of the Republic of Belarus. The welfare measure used is consumption per adult equivalent. Poverty line is absolute. Government estimate.,,,
BLR,2013,520630,5.5,26.57505,Yes,Social conditions and living standards of the population in the Republic of Belarus. National Statistical Committee of the Republic of Belarus. The welfare measure used is consumption per adult equivalent. Poverty line is absolute. Government estimate.,,,
BLR,2014,454777,4.8,27.17667,Yes,Social conditions and living standards of the population in the Republic of Belarus. National Statistical Committee of the Republic of Belarus. The welfare measure used is consumption per adult equivalent. Poverty line is absolute. Government estimate.,,,
BLR,2015,483970,5.1,25.63323,Yes,Social conditions and living standards of the population in the Republic of Belarus. National Statistical Committee of the Republic of Belarus. The welfare measure used is consumption per adult equivalent. Poverty line is absolute. Government estimate.,,,
BLR,2016,541587,5.7,25.30662,Yes,Social conditions and living standards of the population in the Republic of Belarus. National Statistical Committee of the Republic of Belarus. The welfare measure used is consumption per adult equivalent. Poverty line is absolute. Government estimate.,,,
BLR,2017,560965,5.9,25.44457,Yes,Social conditions and living standards of the population in the Republic of Belarus. National Statistical Committee of the Republic of Belarus. The welfare measure used is consumption per adult equivalent. Poverty line is absolute. Government estimate.,,,
BLR,2018,,5.6,25.2,Yes,Social conditions and living standards of the population in the Republic of Belarus. National Statistical Committee of the Republic of Belarus. The welfare measure used is consumption per adult equivalent. Poverty line is absolute. Government estimate.,,,
BLR,2019,464247,5,,Yes,Social conditions and living standards of the population in the Republic of Belarus. National Statistical Committee of the Republic of Belarus. The welfare measure used is consumption per adult equivalent. Poverty line is absolute. Government estimate.,,,
BLR,2020,,4.8,,Yes,,,,
BLR,2021,,4.1,,Yes,,,,
BLR,2022,,3.9,,Yes,,,,
BLR,2023,,,,,,,,
BLR,2024,,,,,,,,
BLZ,2000,,,,,,,,
BLZ,2001,,,,,,,,
BLZ,2002,,34.1,0.4,,Statistical Institute of Belize,https://sib.org.bz/wp-content/uploads/2017/05/Poverty_Assessment_Report_2009.pdf,Jacobus Joost De Hoop,3/25/2025 15:10
BLZ,2003,,,,,,,,
BLZ,2004,,,,,,,Jacobus Joost De Hoop,3/25/2025 15:10
BLZ,2005,,,,,,,,
BLZ,2006,,,,,,,,
BLZ,2007,,,,,,,,
BLZ,2008,,,,,,,,
BLZ,2009,"136,640",41.3,0.42,Yes,Statistical Institute of Belize,https://sib.org.bz/wp-content/uploads/2017/05/Poverty_Assessment_Report_2009.pdf,Jacobus Joost De Hoop,3/25/2025 15:10
BLZ,2010,,,,,,,,
BLZ,2011,,,,,,,,
BLZ,2012,,,,,,,,
BLZ,2013,,,,,,,,
BLZ,2014,,,,,,,,
BLZ,2015,,,,,,,,
BLZ,2016,,,,,,,,
BLZ,2017,,,,,,,Jacobus Joost De Hoop,3/25/2025 15:00
BLZ,2018,,52,,Yes,Statistical Institute of Belize,https://sib.org.bz/wp-content/uploads/PovertyInfographic.pdf,Jacobus Joost De Hoop,3/25/2025 15:01
BLZ,2019,,,,,,,,
BLZ,2020,,,,,,,,
BLZ,2021,,,,,,,,
BLZ,2022,,,,,,,,
BLZ,2023,,,,,,,,
BLZ,2024,,,,,,,,
BOL,2000,5537436,66.4,,,Encuesta de Mejoramiento de Condiciones de Vida; Moderate Poverty Line (individuals) (www.ine.gov.bo and www.udape.gov.bo) . Poverty line is absolute. Government estimate.,,Ruth Llovet Montanes,3/24/2025 13:08
BOL,2001,5361213,63.1,,Yes,Encuesta de Mejoramiento de Condiciones de Vida; Moderate Poverty Line (individuals) (www.ine.gov.bo and www.udape.gov.bo) . Poverty line is absolute. Government estimate.,,Ruth Llovet Montanes,3/24/2025 13:08
BOL,2002,5477567,63.3,,Yes,Encuesta de Mejoramiento de Condiciones de Vida; Moderate Poverty Line (individuals) (www.ine.gov.bo and www.udape.gov.bo) . Poverty line is absolute. Government estimate.,,Ruth Llovet Montanes,3/24/2025 13:07
BOL,2003,,,,,,,Ruth Llovet Montanes,9/13/2024 17:02
BOL,2004,5658645,63.1,,No,Encuesta Continua de los Hogares 2003-2004; Moderate Poverty Line (individuals) (www.ine.gov.bo and www.udape.gov.bo) . Poverty line is absolute. Government estimate.,,Ruth Llovet Montanes,3/24/2025 13:08
BOL,2005,5674742,60.59,60.03,No,Encuesta de Hogares; Moderate Poverty Line (individuals) (www.ine.gov.bo and www.udape.gov.bo) . Poverty line is absolute. Government estimate.,,Ruth Llovet Montanes,3/24/2025 13:05
BOL,2006,5752902,59.92,59.18,Yes,Encuesta de Hogares; Moderate Poverty Line (individuals) (www.ine.gov.bo and www.udape.gov.bo) . Poverty line is absolute. Government estimate.,,Ruth Llovet Montanes,3/24/2025 13:05
BOL,2007,5919766,60.1,56.44,Yes,Encuesta de Hogares; Moderate Poverty Line (individuals) (www.ine.gov.bo and www.udape.gov.bo) . Poverty line is absolute. Government estimate.,,Ruth Llovet Montanes,3/24/2025 13:05
BOL,2008,5732617,57.33,51.74,Yes,Encuesta de Hogares; Moderate Poverty Line (individuals) (www.ine.gov.bo and www.udape.gov.bo) . Poverty line is absolute. Government estimate.,,Ruth Llovet Montanes,3/24/2025 13:05
BOL,2009,5269390,51.31,50.2,Yes,Encuesta de Hogares; Moderate Poverty Line (individuals) (www.ine.gov.bo and www.udape.gov.bo) . Poverty line is absolute. Government estimate.,,Ruth Llovet Montanes,9/13/2024 17:03
BOL,2010,,,,,,,,
BOL,2011,4618302,45.1,46.62,Yes,Encuesta de Hogares; Moderate Poverty Line (individuals) (www.ine.gov.bo and www.udape.gov.bo) . Poverty line is absolute. Government estimate.,,Ruth Llovet Montanes,3/24/2025 13:04
BOL,2012,4493134,43.31,47.09,Yes,Encuesta de Hogares; Moderate Poverty Line (individuals) (www.ine.gov.bo and www.udape.gov.bo) . Poverty line is absolute. Government estimate.,,Ruth Llovet Montanes,3/24/2025 13:04
BOL,2013,4104106,38.91,47.84,Yes,Encuesta de Hogares; Moderate Poverty Line (individuals) (www.ine.gov.bo and www.udape.gov.bo) . Poverty line is absolute. Government estimate.,,Ruth Llovet Montanes,3/24/2025 13:04
BOL,2014,4191943,39.15,47.67,Yes,Encuesta de Hogares; Moderate Poverty Line (individuals) (www.ine.gov.bo and www.udape.gov.bo) . Poverty line is absolute. Government estimate.,,Ruth Llovet Montanes,3/24/2025 13:04
BOL,2015,4195407,38.56,46.47,Yes,Encuesta de Hogares; Moderate Poverty Line (individuals) (www.ine.gov.bo and www.udape.gov.bo) . Poverty line is absolute. Government estimate.,,Ruth Llovet Montanes,3/24/2025 13:04
BOL,2016,4745289,43,46.35,No,Encuesta de Hogares; Moderate Poverty Line (individuals) (www.ine.gov.bo and www.udape.gov.bo) . Poverty line is absolute. Government estimate.,,Ruth Llovet Montanes,3/24/2025 13:04
BOL,2017,4735019,42.24,45.61,Yes,Encuesta de Hogares; Moderate Poverty Line (individuals) (www.ine.gov.bo and www.udape.gov.bo) . Poverty line is absolute. Government estimate.,,Ruth Llovet Montanes,3/24/2025 13:04
BOL,2018,4534566,39.9,43.25,Yes,,,Ruth Llovet Montanes,3/24/2025 13:04
BOL,2019,4282674,37.17,42.45,Yes,"Encuesta de Hogares; Moderate Poverty Line (individuals) (www.ine.gov.bo and www.udape.gov.bo) . Poverty line is absolute. Government estimate. In 2019, Bolivia updated its poverty line.",,Ruth Llovet Montanes,3/24/2025 13:04
BOL,2020,4581969,39.05,45.23,Yes,Encuesta de Hogares; Moderate Poverty Line (individuals) (www.ine.gov.bo and www.udape.gov.bo) . Poverty line is absolute. Government estimate.,,Ruth Llovet Montanes,3/24/2025 13:04
BOL,2021,4331273,36.41,42,Yes,Encuesta de Hogares; Moderate Poverty Line (individuals) (www.ine.gov.bo and www.udape.gov.bo) . Poverty line is absolute. Government estimate.,,Ruth Llovet Montanes,9/13/2024 17:06
BOL,2022,4552655,37.74,42.6,Yes,Encuesta de Hogares; Moderate Poverty Line (individuals) (www.ine.gov.bo and www.udape.gov.bo) . Poverty line is absolute. Government estimate.,,Ruth Llovet Montanes,3/24/2025 13:06
BOL,2023,4460416,36.48,43.4,Yes,Encuesta de Hogares; Moderate Poverty Line (individuals) (www.ine.gov.bo and www.udape.gov.bo) . Poverty line is absolute. Government estimate.,,Ruth Llovet Montanes,3/24/2025 13:06
BOL,2024,,,,,,,Ruth Llovet Montanes,9/13/2024 16:51
BRA,2000,,,,,,,,
BRA,2001,,,58.4,,,,Otavio Canozzi Conceicao,3/24/2025 16:21
BRA,2002,,,58.11,,,,Otavio Canozzi Conceicao,3/24/2025 16:21
BRA,2003,,,57.55,,,,Otavio Canozzi Conceicao,3/24/2025 16:21
BRA,2004,,,56.47,,,,Otavio Canozzi Conceicao,3/24/2025 16:21
BRA,2005,,,56.31,,,,Otavio Canozzi Conceicao,3/24/2025 16:21
BRA,2006,,,55.64,,,,Otavio Canozzi Conceicao,3/24/2025 16:22
BRA,2007,,,54.92,,,,Otavio Canozzi Conceicao,3/24/2025 16:22
BRA,2008,,,54.04,,,,Otavio Canozzi Conceicao,3/24/2025 16:22
BRA,2009,,,53.68,,,,Otavio Canozzi Conceicao,3/24/2025 16:22
BRA,2010,,,,,,,,
BRA,2011,,,52.94,,,,Otavio Canozzi Conceicao,3/24/2025 16:22
BRA,2012,,,53.44,,,,Otavio Canozzi Conceicao,3/24/2025 16:22
BRA,2013,,,52.68,,,,Otavio Canozzi Conceicao,3/24/2025 16:25
BRA,2014,,,52.03,,,,Otavio Canozzi Conceicao,3/24/2025 16:23
BRA,2015,,,51.93,,,,Otavio Canozzi Conceicao,3/24/2025 16:23
BRA,2016,,,53.37,,,,Otavio Canozzi Conceicao,3/24/2025 16:23
BRA,2017,,,53.32,,,,Otavio Canozzi Conceicao,3/24/2025 16:23
BRA,2018,,,53.89,,,,Otavio Canozzi Conceicao,3/24/2025 16:23
BRA,2019,,,53.51,,,,Otavio Canozzi Conceicao,3/24/2025 16:24
BRA,2020,,,48.9,,,,Otavio Canozzi Conceicao,3/24/2025 16:24
BRA,2021,,,52.94,,,,Otavio Canozzi Conceicao,3/24/2025 16:24
BRA,2022,,,52.02,,,,Otavio Canozzi Conceicao,3/24/2025 16:24
BRA,2023,,,51.6,,,,Otavio Canozzi Conceicao,3/25/2025 17:54
BRA,2024,,,,,,,Otavio Canozzi Conceicao,3/24/2025 16:24
BRB,2000,,,,,,,Cameron Nadim Haddad,3/10/2025 11:42
BRB,2001,,,,,,,Cameron Nadim Haddad,3/10/2025 11:42
BRB,2002,,,,,,,,
BRB,2003,,,,,,,,
BRB,2004,,,,,,,,
BRB,2005,,,,,,,,
BRB,2006,,,,,,,,
BRB,2007,,,,,,,,
BRB,2008,,,,,,,,
BRB,2009,,,,,,,,
BRB,2010,,,,,,,,
BRB,2011,,,,,,,,
BRB,2012,,,,,,,,
BRB,2013,,,,,,,,
BRB,2014,,,,,,,,
BRB,2015,,,,,,,,
BRB,2016,,17.2,0.32,,BSLC Executive Summary,https://publications.iadb.org/en/barbados-survey-living-conditions-2016,Jonathan William Lain,25/03/2025 12:37
BRB,2017,,,,,,,,
BRB,2018,,,,,,,,
BRB,2019,,,,,,,,
BRB,2020,,,,,,,Cameron Nadim Haddad,3/10/2025 11:42
BRB,2021,,,,,,,,
BRB,2022,,,,,,,,
BRB,2023,,,,,,,,
BRB,2024,,,,,,,,
BTN,2000,,,,,,,,
BTN,2001,,,,,,,,
BTN,2002,,,,,,,,
BTN,2003,,,,,,,,
BTN,2004,,,,,,,,
BTN,2005,,,,,,,,
BTN,2006,,,,,,,,
BTN,2007,157667,23.2,38.09,Yes,PovcalNet,,,
BTN,2008,,,,,,,,
BTN,2009,,,,,,,,
BTN,2010,,,,,,,,
BTN,2011,,,,,,,,
BTN,2012,82010,12,38.81,Yes,PovcalNet,,,
BTN,2013,,,,,,,,
BTN,2014,,,,,,,,
BTN,2015,,,,,,,,
BTN,2016,,,,,,,,
BTN,2017,59626,8.2,37.44,Yes,PovcalNet,,,
BTN,2018,,,,,,,,
BTN,2019,,,,,,,,
BTN,2020,,,,,,,,
BTN,2021,,,,,,,,
BTN,2022,97024,12.4,28.5,No,PovcalNet,,Kelly Yelitza Montoya Munoz,3/25/2025 15:31
BTN,2023,,,,,,,,
BTN,2024,,,,,,,,
BWA,2000,,,,,,,,
BWA,2001,,,,,,,,
BWA,2002,544666,30.6,64.7,Yes,Statistics Botswana,,Cameron Nadim Haddad,8/21/2024 13:34
BWA,2003,,,,,,,,
BWA,2004,,,,,,,,
BWA,2005,,,,,,,,
BWA,2006,,,,,,,,
BWA,2007,,,,,,,,
BWA,2008,,,,,,,Cameron Nadim Haddad,8/21/2024 13:34
BWA,2009,382117,19.3,60.5,Yes,Statistics Botswana,,,
BWA,2010,,,,,,,,
BWA,2011,,,,,,,,
BWA,2012,,,,,,,,
BWA,2013,,,,,,,,
BWA,2014,,,,,,,,
BWA,2015,355681,16.1,54.9,Yes,Statistics Botswana,,Cameron Nadim Haddad,8/21/2024 13:34
BWA,2016,,,,,,,,
BWA,2017,,,,,,,,
BWA,2018,,,,,,,,
BWA,2019,,,,,,,,
BWA,2020,,,,,,,,
BWA,2021,,,,,,,,
BWA,2022,,,,,,,,
BWA,2023,,,,,,,,
BWA,2024,,,,,,,,
CAF,2000,,,,,,,,
CAF,2001,,,,,,,,
CAF,2002,,,,,,,,
CAF,2003,,,,,,,,
CAF,2004,,,,,,,,
CAF,2005,,,,,,,,
CAF,2006,,,,,,,,
CAF,2007,,,,,,,Gervais Chamberlin Yama,10/9/2024 11:51
CAF,2008,2694139,62,,Yes,WDI,,Gervais Chamberlin Yama,10/9/2024 11:52
CAF,2009,,,,,,,,
CAF,2010,,,,,,,,
CAF,2011,,,,,,,,
